,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
code,-0.090589575,0.338934,-0.37492284,0.6103219,0.34037787,-0.08522842,-0.011856285,-0.105486,0.19341032,0.20060506,-0.1811628,0.07715291,-0.25711194,-0.18176009,0.35424188,-0.8770552,-0.1140859,0.1806345,-0.35954404,0.25891644,-0.06037004,0.0999626,0.04757661,-0.28266644,0.57169694,-0.25406387,-0.22618471,-0.47368348,-0.20822498,-0.256325,-0.41002733,-0.013577541,0.065115154,0.17837381,0.094583385,-0.36296576,-0.029387213,-0.13005708,0.43714598,-0.1280671,0.17724173,0.5052848,-0.073414594,-0.3053505,0.399032,-0.18841606,-0.010930814,-0.015610756,-0.12721333,0.3233332,0.26265237,0.05978957,0.013350561,0.71508026,0.42294323,-0.2161668,-0.1918855,0.1588865,-0.15671551,0.046515122,0.19055049,-0.34206057,-0.23107134,-0.019165333,0.14630097,0.12050023,0.14248343,0.52730644,0.45031404,0.24504879,0.29680094,-0.27596563,-0.038474247,0.2693112,-0.63938785,1.0644035,-0.32350782,-0.19779621,-0.094115235,0.44307432,-0.19236952,-0.54492867,0.44294727,0.15848356,0.4823164,0.06827782,-0.19488776,-0.096299365,0.026988763,0.004000095,0.040939525,0.09021046,0.82119036,-0.19536562,0.053848915,-0.13502066,-0.028052785,-0.06135049,-0.13794363,-0.010737442
runtime,-0.23096195,-0.06699982,-0.17495005,-0.3750513,0.13687225,0.3490868,0.18882251,0.23769805,0.212897,0.10982274,-0.33742774,-0.15171038,-0.19929768,0.21286768,0.02139344,0.016329,-0.049920645,0.15935153,0.21371095,0.46522045,0.24312775,-0.08346696,0.08930559,-0.2619322,-0.23909938,0.28468904,-0.25247988,-0.17670965,-0.1491507,-0.3023362,0.15693536,-0.03676685,-0.20020734,0.102920175,0.24432991,-0.21119858,-0.21902299,-0.055589527,0.12015586,-0.2994934,-0.035039555,-0.089903444,-0.15616047,0.09091194,0.166138,-0.018062487,0.090768114,-0.15290338,0.10189787,-0.34854332,-0.31282675,0.13797204,0.12936386,0.2673577,-0.19339359,-0.13062567,-0.1845005,0.25734866,-0.0301164,0.019009946,0.05678754,-0.21543336,0.019041322,0.108307816,9.256753e-05,-0.3510681,-0.2782527,0.3147222,-0.41972965,0.005257916,-0.13685891,0.05308143,0.25623173,-0.13000715,0.091877304,0.3723488,0.07231562,0.15005647,0.26067632,0.1386641,-0.07438119,-0.25298032,-0.26109734,0.05777124,0.04656157,-0.22428656,0.055688933,0.31551394,0.21136853,0.17022511,0.31238154,-0.36354187,0.43461096,0.150344,-0.012543465,-0.3571242,0.091231726,-0.26273796,-0.14125444,0.17749809
parser,0.2912649,-0.56251067,-0.9643532,0.3030115,-0.10540083,0.3933268,0.39641258,-0.48018673,-0.16687489,0.40910566,0.32130557,0.4161092,-0.1808202,0.34774402,-0.28314057,0.42008263,0.17846358,0.12789837,-0.42617762,-0.5675642,-0.7567864,0.17405146,0.022550747,0.113101766,-0.007994821,-0.39432603,-0.09376468,-0.54851,0.08206391,-0.32422704,-0.39450324,-0.18182214,-0.24442321,0.4007775,-0.11579255,-0.01663734,0.44404078,-0.43314666,-0.1253347,0.4076277,-0.32427022,-0.32814753,0.13629855,0.30489042,-0.15255372,0.7013042,-0.22831038,-0.09348676,-0.30392623,0.3639572,0.760191,-0.5011361,0.019965816,-0.3493961,-0.010904515,-0.006629113,0.26202485,-0.274014,-0.43032953,0.37756637,0.2856406,0.22154202,0.46007058,0.014034051,0.17361204,0.25886682,-0.48450056,0.13510297,0.58762586,0.68637544,0.13227305,0.057782754,-0.24859795,-0.02493615,0.4128966,-0.40736997,0.21571076,-0.48352692,-0.013154383,-0.0023525078,-0.18649846,0.45050505,-0.050812714,-0.12888008,-0.2299899,0.73899686,-0.5418112,-0.3929328,0.33955494,0.1951182,-0.4440319,0.30330682,-0.093622334,0.062419944,0.23960067,0.57914716,-0.41759166,0.23417108,0.63513297,-0.23101552
env,0.07683593,-0.40018138,0.15871105,0.32068318,-0.11756409,0.19707343,0.017225921,0.08271681,-0.18585032,0.066471405,-0.16380967,-0.10877623,-0.32428336,0.3042028,0.2324229,0.21768858,0.30249348,0.06355592,-0.033255506,0.5324519,0.042211797,-0.014630474,0.09674354,0.15398532,-0.45626655,-0.08009422,-0.40161678,-0.18461853,0.07716861,-0.18156168,0.086977735,-0.29829776,-0.023303773,0.25700963,0.13788897,-0.026497085,-0.28168496,0.11242708,-0.048932936,0.09620938,0.2142703,0.04670667,-0.18614452,-0.14822462,0.06846219,0.09187591,-0.11822344,0.05056679,0.008492923,0.033663444,-0.112832814,0.053640164,-0.0005812498,-0.072385564,0.27102497,-0.040168706,-0.30989265,-0.25330433,0.2832606,-0.13147132,-0.37985283,-0.13637967,-0.14464477,-0.30003864,-0.20384452,-0.12612985,0.023238592,0.3776958,0.19911212,0.20315158,0.054690346,0.043960225,-0.03303037,-0.024176529,0.11921391,0.1030805,0.12578261,0.21525298,-0.3468405,0.20925973,-0.2915681,-0.008812825,0.015877176,-0.13595569,0.08636135,0.08394768,-0.0018304281,0.3926132,-0.07999539,0.11176568,-0.15371665,-0.21073614,0.008108651,-0.38818,0.0721276,-0.22515026,-0.06841762,-0.19525874,-0.13727275,0.014930236
strong,-0.21325861,-0.20794429,0.18722227,0.10743503,-0.34548452,0.07906998,0.51863605,0.060174074,-0.20788085,0.043623023,-0.7347648,-0.22974971,0.41836143,-0.05189936,0.7493179,-0.20521255,0.3542986,0.5914676,-0.51517785,0.8727743,-0.27243787,0.31623894,0.060542665,-0.3155541,-0.57201093,0.053787455,-0.133391,0.33555427,-0.2601604,-0.33375484,-0.24116799,-0.07773775,0.30898342,0.039535724,0.6501047,-0.75541633,0.36923838,-0.27674407,-0.41225088,-0.04180496,-0.12833247,-0.069135584,0.14820565,-0.36691037,-0.039694004,0.56080914,-0.27902603,-0.08023742,0.78926015,0.027026419,0.29318863,0.7074266,0.019304855,-0.014703737,0.48800227,0.3331256,-0.2910832,0.21426354,0.17257103,0.19313718,0.38589337,-0.27708808,-0.01595206,0.0518957,-0.22624016,0.10170365,-0.8391444,-0.071181126,0.7639287,0.06740501,-0.38532415,-0.23025042,0.21378182,0.024606006,-0.21994704,0.2951972,0.07108438,-0.0052081784,-0.552882,-0.06083481,-0.35855934,-0.21972853,0.4021388,0.25501904,-0.055574987,-0.7187573,0.24672563,-0.2664432,0.22448124,0.05008007,-0.23875141,-0.15330388,0.1885108,-0.26605076,-0.3122794,-0.09338701,0.051903393,-0.4437389,0.4741286,0.03720918
async,-0.21815291,-0.0045313872,0.19348373,-0.19257304,-0.0054140445,-0.23499088,0.18258038,-0.113347724,-0.20472917,-0.073010914,-0.27782917,-0.003720607,0.098250926,-0.086441934,0.35074195,-0.09120826,0.35636836,-0.12932192,-0.23530568,0.03143932,0.070137076,0.095164336,-0.20365448,-0.06267978,0.18254045,0.17229033,0.058611408,-0.29473263,-0.05161783,-0.23249292,0.07024438,0.29953215,0.16140263,0.4166722,0.10942452,-0.09130457,-0.1531697,0.41585502,0.33847436,-0.059048522,0.050229147,0.064591065,-0.18346104,-0.22328958,-0.009405942,-0.18390468,0.061507046,0.19938764,0.17345671,-0.24791746,0.16700748,0.09254859,0.20101973,-0.10836647,-0.16725138,0.05730686,-0.072511405,0.032567825,0.21119364,0.093889445,0.09436083,0.20712301,0.09769746,-0.06068158,-0.18946955,-0.20031309,-0.013740147,-0.0076946956,0.32025513,-0.06784746,0.17111543,-0.15362394,0.25257915,0.203441,0.003894128,0.33503383,0.10462483,-0.13634194,0.027425565,0.048960205,-0.011579434,-0.008484236,0.20236883,-0.02626241,0.11033929,-0.22061132,0.12941532,0.3150783,0.03435117,-0.12735987,0.054757364,-0.040256225,0.3097512,0.3177079,0.088692114,-0.53813595,-0.1392804,0.022389727,-0.04001819,0.019097779
link,-0.063133135,0.6950717,-0.3144493,0.93484527,0.21750602,0.020758457,0.09768473,0.26607415,0.05252842,0.06670675,-0.5073432,0.17635939,0.14509462,-0.2574403,0.52531636,-0.46793357,-0.11547239,0.04762394,-0.25675255,0.22067699,-0.48839027,-0.3431387,-0.30613378,-0.69476146,0.4846388,0.14717358,-0.0057646297,-0.21222495,-0.026861316,-0.5489814,0.05729527,-0.02933213,0.034372203,0.20118079,0.18140805,-0.25377643,-0.013346554,0.50239056,0.36453918,-0.23033033,-0.10473631,0.20127678,0.021164395,-0.27688995,0.1495603,-0.13488315,-0.15385228,-0.038855366,-0.24694555,0.27805462,0.2664554,0.43834352,0.09194115,0.72975487,0.6747513,-0.051081635,0.06531452,0.1874604,0.3192387,-0.6042514,0.13323231,-0.18727775,-0.13656338,0.1570357,-0.3421063,-0.24412893,-0.08743263,0.5887426,0.7891889,0.10315069,-0.13432464,-0.07618555,-0.18089278,0.19376756,-0.4770898,0.6059905,-0.07990618,0.056077518,-0.41636324,0.29449657,-0.086002536,-0.5334571,0.21119699,0.0004313297,0.24465182,0.24884,-0.41321898,-0.023668107,0.08793384,0.10980919,-0.12081205,-0.174735,0.6271733,0.016918767,-0.077121645,-0.14238825,-0.014089964,-0.056705125,-0.24670598,-0.12185309
a,-0.24426764,0.066341415,-0.36644426,0.5116909,0.42582974,-0.37846002,-0.027685346,0.23601277,-0.050840333,-0.038743954,0.19973722,0.02253053,0.12175465,-0.18606958,0.3378406,-0.33092463,-0.084805414,-0.10710317,-0.22788408,0.32035398,-0.07040551,-0.47437963,-0.126198,-0.8278233,0.50221026,-0.04088383,0.07935568,-0.098342806,0.049460288,-0.61196536,0.27631572,0.09013198,-0.013951329,0.6320704,0.45311376,-0.1449435,0.12116586,0.33002016,0.2849883,-0.36335698,0.16500011,0.0036483095,0.6294407,-0.15876159,-0.075545706,-0.16204965,-0.08351485,0.2229161,-0.23296161,0.045369748,0.112085015,0.0976364,0.049967766,0.5511523,0.50435925,-0.2531366,0.05057431,0.041295595,0.34779438,-0.58991015,0.027027093,-0.1040312,0.029537028,-0.031061413,-0.14299072,-0.60017604,-0.3674482,0.3093154,0.39450437,0.098254025,0.13491215,-0.31169924,-0.22364403,0.32631606,-0.20313992,0.5442568,-0.04663201,0.041607793,0.018318398,-0.043934006,-0.23172475,-0.15747042,0.06542166,0.16517453,0.25231162,0.1256823,-0.20207922,-0.14001834,-0.14391823,-0.28551713,-0.28827763,-0.03849497,0.3313284,0.1094415,-0.044383924,0.25497594,0.25425273,-0.17844506,-0.28544515,0.17669474
href,0.16476735,0.064439885,-0.28920743,0.56812966,0.0014447665,-0.13043913,0.22681884,0.12826762,0.38895085,0.4242898,-0.35269982,0.018000305,-0.05023852,0.00819426,-0.11237996,-0.71897185,0.15347074,-0.15920278,-0.43643966,0.2898091,-0.5340324,-0.051504765,-0.78377765,-0.23555088,0.111368395,-0.112319745,0.14332558,-0.09374164,0.020666897,-1.4568423,0.34722313,-0.05453841,-0.21606673,0.97272444,-0.022607978,0.2092299,-0.12650837,0.3440919,0.7990111,-0.4511356,0.16232133,0.23517512,-0.032841936,0.0701466,-0.38677368,-0.15494946,0.4590902,-0.46174645,0.5652928,-0.08928291,0.23267913,-0.07000099,0.13810901,0.30597633,0.31336993,-0.026317472,0.46483773,0.80623287,0.9486893,-0.81152904,0.100784816,-0.0035952493,0.63741994,-0.12174111,0.14220324,-0.46660492,-0.446601,-0.100424364,0.28505975,0.44447735,0.23478545,0.20690526,-0.43920177,0.018544618,-0.27996328,0.6386384,-0.46620405,-0.45673835,-0.70253676,-0.3066154,0.0142298415,-0.79661524,-0.1437986,0.2065726,0.2015699,-0.13970286,-0.17377378,0.016942436,-0.3476906,0.022120679,-0.2941917,-0.12440846,0.89617175,-0.4602438,-0.2891224,-0.09063514,-0.1392497,-0.023349337,0.44654992,-0.21900702
li,-0.11714619,0.23951627,0.105307676,0.32646987,-0.44922888,-0.341634,0.22944298,-0.24382971,-0.16127434,0.01276422,-0.3891341,-0.10816092,-0.39709014,-0.56904083,0.15638421,-0.7399856,-0.13328642,0.26367173,0.263189,-0.099283725,-0.6541394,-0.17430952,-0.7523427,-0.21189708,1.0562903,-0.20262605,-0.22336875,0.36998543,0.017427783,-0.3524546,0.28843635,-0.06356638,-0.067787156,-0.20398594,0.022548571,-0.52059114,-0.02597855,0.539749,0.5242256,-0.2915248,0.02539223,0.11355225,-0.52897704,-0.24707815,0.21997412,-0.25527728,0.40304667,-0.28771043,-0.2943038,0.24456155,0.047755856,0.3194365,0.18811484,-0.056655664,-0.089230105,0.15991876,0.09426156,-0.13180843,0.36592054,-0.6545714,-0.31831884,-0.17667079,-0.05072892,-0.08641432,-0.4950396,-0.286545,-0.42167905,0.06370713,0.5161231,-0.069720164,1.140737,-0.82288826,-0.653044,1.4591224,0.11772851,0.7407963,-0.8450324,0.7619896,-0.12701161,0.52865803,-0.06356995,0.20067003,-0.09981032,-0.014396599,0.3539028,-0.40893197,0.07118733,-0.085068345,-0.6347291,0.037574474,-0.20662543,0.7115746,1.0303433,-0.037878327,-0.3502364,-0.058200967,-0.10757393,-0.3838291,-0.082954615,-0.10463169
to,-0.48237973,0.38868925,-0.4169245,0.08214331,0.77317226,-0.07381076,0.45099977,-0.4761501,-0.084709,-0.0426969,0.6967871,0.6303969,0.817963,-0.58215684,0.62169117,-0.12253955,0.56513685,0.24804409,0.15394971,0.889213,-0.23413073,0.052095447,-0.22586149,-0.11576616,-0.04192208,-0.3879792,-0.28040808,-0.77906877,0.19702387,-1.1027242,0.34402072,0.38898277,0.67879355,0.845801,0.47042948,0.07043979,0.015453859,0.59737307,-0.1725421,-0.017059917,0.044872046,-0.09061145,-0.20513578,0.15889789,-0.36319023,-0.46918777,-0.29288515,0.18662423,-0.32975376,0.07245008,-0.33509192,-0.057027467,1.2103826,0.52327126,-0.018337464,0.5085692,-0.048985075,-0.19153044,0.7221612,-0.5784835,0.064408354,0.39837405,0.70807976,0.24939848,-0.27185956,0.2935242,-0.15357454,0.48853073,0.7915013,0.13639778,-0.2303083,0.07028384,-0.3502421,0.07837652,-0.87070465,0.6826564,0.07944631,0.17803854,-0.3026049,-0.40886658,0.18521489,-0.06058605,-0.54693556,0.8077615,0.043796968,-0.53875756,0.62685955,0.17728949,-0.18787232,-0.29358906,-0.7465893,-0.30935907,-0.72609526,0.4195225,-0.54284513,-0.607665,-0.008038104,-0.784021,0.2270892,-0.26851866
native,0.13013883,-0.39720464,-0.007623041,-0.077978946,-0.12298556,0.39259228,-0.0032201724,-0.021271182,0.027826477,0.2644314,-0.050517913,-0.10485547,-0.18620487,0.35474902,-0.08388153,0.05057276,0.21280514,0.059857383,0.13200085,0.27148247,0.23585454,-0.11317119,-0.42208117,-0.008828896,-0.5021575,-0.50494266,-0.0072001508,0.18483658,-0.102265924,-0.5001719,0.08945905,-0.2012479,-0.23996742,-0.042187624,-0.024087515,0.02224612,0.08524528,0.42981717,0.23681255,0.14189872,0.0111552775,0.095118,-0.12859522,-0.006056864,-0.21529776,0.3503875,0.19204102,-0.15521294,-0.23094818,-0.04076465,-0.06993926,-0.0064857006,0.043192916,-0.19898818,0.26856932,-0.11562755,0.1881102,-0.4785767,0.16051927,-0.09821748,0.002927514,0.009667099,0.26597577,0.044857588,-0.0036631702,-0.072921395,-0.3732769,-0.20185369,0.31981814,0.29400063,-0.16790473,0.27151662,-0.031805743,-0.07806304,0.19469008,-0.10582869,-0.2811277,-0.18156864,-0.19308962,-0.11511088,0.14352153,-0.27141973,-0.072933145,-0.03185552,0.07131607,0.006236146,0.1627497,0.12365762,-0.37886706,-0.13663694,0.007645512,-0.52031,-0.033461135,0.12146223,-0.060612753,0.15914005,-0.090540774,0.042779185,-0.21811421,-0.6165701
fix,-0.38345706,0.6644771,0.19247045,0.9758634,0.4259069,0.48270425,-1.0454956,-0.32690683,0.17670137,0.9624496,-0.043717958,-0.14381966,0.55924106,-0.19666861,0.19472568,0.46377563,-0.12286572,0.22826423,-0.08258912,0.4283905,0.122029975,-0.095448025,-0.27386105,-1.1198547,0.9332873,0.42493844,-0.4274934,0.17015891,-0.12978509,-0.82036567,-0.36960942,0.31567338,0.2601838,0.115867764,0.2754444,-0.22725855,-0.24933009,0.8284518,0.7738392,-0.2966902,-0.57346576,0.023297984,0.08401925,0.006593968,0.27205536,0.0532835,-0.04910698,0.64436233,0.8065944,0.18507564,-0.29699183,0.06857254,0.23402105,1.0750182,-0.44447818,-0.024682466,0.12140986,0.7646824,0.33032966,0.3003922,0.14398184,-0.14857376,0.21860343,-0.16231404,-0.3860821,-0.5998068,-0.3345457,0.56539285,-0.18673564,-0.08974924,-0.5493165,0.023916965,0.05692054,0.37155622,0.31395772,0.71398795,-0.5433492,-0.13992368,-0.05139824,0.35744196,-0.6588818,0.07971635,0.12940104,0.15345955,0.4880088,-0.2805399,0.08575095,-0.017594425,-0.10730515,-0.2424249,-1.1685325,-0.6046333,0.859327,0.89903057,-0.33509034,0.24143644,-0.35027874,-0.032507837,-0.24760474,-0.28870434
fixed,-0.30725807,0.5022859,0.35886484,0.1897211,0.12395155,-0.31315225,0.23908345,-0.08927821,0.15966369,-0.1077653,0.12449887,-0.20977683,-0.08821201,-0.29225957,-0.18216524,-0.24625902,0.04784826,0.15650277,-0.23281707,0.51053244,-0.51191044,0.09704695,0.20135295,-0.35208008,-0.20160386,-0.048614055,-0.35013676,-0.23328716,-0.42031872,-0.599988,0.003036499,-0.011652193,0.34766024,0.21585095,0.25038585,-0.1695669,-0.18554036,0.5558432,0.25514194,-0.16877776,0.1084969,0.5324955,0.121793434,-0.42816016,-0.082226604,0.07206693,0.12709132,0.043411404,0.49445304,-0.01866025,0.27412578,-0.45151952,-0.09944745,0.49743786,0.004183188,0.36787605,0.10925591,-0.0059467014,0.67175925,-0.4219734,0.15864345,-0.44776517,-0.15364297,0.039494224,-0.16707699,-0.23588052,0.019081421,-0.39620215,0.62499416,0.26594058,0.4691146,-0.28295532,0.14673942,0.55315864,0.05770873,0.8512375,0.25710425,0.084938556,-0.50146925,0.26714596,-0.13117406,0.16316995,0.15726615,0.27145916,0.12923735,-0.41516027,-0.07709147,-0.017087428,0.13445126,0.14126314,-0.7382367,-0.1558847,0.51789737,0.42602348,-0.37365973,-0.052719373,-0.26662785,-0.1203427,-0.043029547,-0.11058697
a,-0.24426764,0.066341415,-0.36644426,0.5116909,0.42582974,-0.37846002,-0.027685346,0.23601277,-0.050840333,-0.038743954,0.19973722,0.02253053,0.12175465,-0.18606958,0.3378406,-0.33092463,-0.084805414,-0.10710317,-0.22788408,0.32035398,-0.07040551,-0.47437963,-0.126198,-0.8278233,0.50221026,-0.04088383,0.07935568,-0.098342806,0.049460288,-0.61196536,0.27631572,0.09013198,-0.013951329,0.6320704,0.45311376,-0.1449435,0.12116586,0.33002016,0.2849883,-0.36335698,0.16500011,0.0036483095,0.6294407,-0.15876159,-0.075545706,-0.16204965,-0.08351485,0.2229161,-0.23296161,0.045369748,0.112085015,0.0976364,0.049967766,0.5511523,0.50435925,-0.2531366,0.05057431,0.041295595,0.34779438,-0.58991015,0.027027093,-0.1040312,0.029537028,-0.031061413,-0.14299072,-0.60017604,-0.3674482,0.3093154,0.39450437,0.098254025,0.13491215,-0.31169924,-0.22364403,0.32631606,-0.20313992,0.5442568,-0.04663201,0.041607793,0.018318398,-0.043934006,-0.23172475,-0.15747042,0.06542166,0.16517453,0.25231162,0.1256823,-0.20207922,-0.14001834,-0.14391823,-0.28551713,-0.28827763,-0.03849497,0.3313284,0.1094415,-0.044383924,0.25497594,0.25425273,-0.17844506,-0.28544515,0.17669474
http,0.16838896,-0.5642791,0.061322134,-0.106351905,-0.23978394,0.003141359,0.27736512,-0.021104867,-0.054212227,0.20212607,-0.34886727,-0.57175094,0.20966041,-0.016139314,0.2710171,0.4786926,-0.54899144,-0.3315384,0.1939327,-0.45437777,-0.153774,-0.07424152,0.2870067,0.57356715,-0.40848985,0.10014634,-0.14743698,0.017138071,0.34029615,0.5660866,-0.09187932,-0.13050023,0.010997508,0.0048519787,-0.15562959,0.0076482194,0.31457472,0.004324551,-0.38409105,0.26812652,-0.19337341,-0.24924248,-0.4870216,0.18143359,0.5465671,0.031803012,-0.43750033,-0.2602024,-0.3217916,0.34906673,0.42035976,0.2948185,-0.120497055,-0.22955438,0.20097218,-0.55067325,-0.7605294,-0.0060112746,-0.6940932,0.31791866,0.3251251,0.11976335,-0.30535412,0.11681118,0.16751835,0.31502774,-0.014953809,-0.007164861,0.27574033,-0.022444414,-0.37978107,-0.14590545,0.12117365,0.2705238,0.17364644,-0.7496382,0.45496178,-0.4766283,-0.22494276,-0.3295555,0.33886528,0.019040283,0.9718835,-0.11921233,-0.19092867,0.4397786,0.26029265,-0.09279658,-0.34504017,0.4303193,0.1548348,0.010205176,-0.43183562,0.18582721,0.120477915,0.67220896,-0.28032383,0.6930912,0.36753267,0.048743457
link,-0.063133135,0.6950717,-0.3144493,0.93484527,0.21750602,0.020758457,0.09768473,0.26607415,0.05252842,0.06670675,-0.5073432,0.17635939,0.14509462,-0.2574403,0.52531636,-0.46793357,-0.11547239,0.04762394,-0.25675255,0.22067699,-0.48839027,-0.3431387,-0.30613378,-0.69476146,0.4846388,0.14717358,-0.0057646297,-0.21222495,-0.026861316,-0.5489814,0.05729527,-0.02933213,0.034372203,0.20118079,0.18140805,-0.25377643,-0.013346554,0.50239056,0.36453918,-0.23033033,-0.10473631,0.20127678,0.021164395,-0.27688995,0.1495603,-0.13488315,-0.15385228,-0.038855366,-0.24694555,0.27805462,0.2664554,0.43834352,0.09194115,0.72975487,0.6747513,-0.051081635,0.06531452,0.1874604,0.3192387,-0.6042514,0.13323231,-0.18727775,-0.13656338,0.1570357,-0.3421063,-0.24412893,-0.08743263,0.5887426,0.7891889,0.10315069,-0.13432464,-0.07618555,-0.18089278,0.19376756,-0.4770898,0.6059905,-0.07990618,0.056077518,-0.41636324,0.29449657,-0.086002536,-0.5334571,0.21119699,0.0004313297,0.24465182,0.24884,-0.41321898,-0.023668107,0.08793384,0.10980919,-0.12081205,-0.174735,0.6271733,0.016918767,-0.077121645,-0.14238825,-0.014089964,-0.056705125,-0.24670598,-0.12185309
